"TOA5","COM1","CR1000","55447","CR1000.Std.25","CPU:LIMHA_3_1.CR1","64968","limha"
"TIMESTAMP","RECORD","vw(1)","vw(2)","vw(3)","vw(4)","vw(5)","vw(6)","vw(7)","vw(8)","vw(9)","vw(10)","vw(11)","vw(12)","vw(13)","vw(14)","vw(15)","vw(16)","vw(17)","vw(18)","vw_t(1)","vw_t(2)","vw_t(3)","vw_t(4)","vw_t(5)","vw_t(6)","vw_t(7)","vw_t(8)","vw_t(9)","vw_t(10)","vw_t(11)","vw_t(12)","vw_t(13)","vw_t(14)","vw_t(15)","vw_t(16)","vw_t(17)","vw_t(18)","logvolt","logtemp","strain_1","strain_2","temp_1","RST1_A","RST1_B","RST2_A","RST2_B"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-25 10:00:00",51787,1586.623,"NAN",1569.572,1549.402,1551.547,1596.413,1576.167,1577.183,1551.131,1606.669,1503.386,1579.908,9096.437,9060.304,7883.56,9237.979,8464.876,8680.436,11.69458,10.86304,11.40259,9.995575,11.08826,-84.13996,11.53491,9.972717,11.71536,11.7215,11.59491,11.6525,9.301513,10.75498,11.78915,12.00528,9.836333,5.590759,13.4,13.33,-1134.683,-1230.217,"NAN",-124.0308,320.5824,133.5195,208.0735
"2021-03-25 11:00:00",51788,1586.639,"NAN",1569.581,1549.379,1551.507,1596.376,1576.179,1577.15,1551.142,1606.64,1503.338,1579.918,9096.453,9060.415,7883.684,9237.935,8464.849,8680.405,11.69769,10.86609,11.40253,9.99533,11.09146,-84.07471,11.53537,9.973328,11.71796,11.72372,11.59818,11.65564,9.338623,10.75415,11.78821,12.00504,9.836304,5.591156,13.34,15.92,-1132.569,-1228.066,"NAN",-126.059,320.5694,132.8364,208.0651
"2021-03-25 12:00:00",51789,1586.664,"NAN",1569.586,1549.362,1551.484,1596.348,1576.183,1577.133,1551.154,1606.605,1503.3,1579.934,9096.51,9060.372,7883.921,9237.896,8464.832,8680.387,11.69855,10.86249,11.40311,9.99594,11.0946,-84.04028,11.5361,9.974823,11.72116,11.72552,11.60059,11.65762,9.420013,10.75345,11.7876,12.00424,9.835541,5.590486,13.3,17.26,-1130.661,-1237.865,"NAN",-126.059,321.2471,134.1918,210.0983
"2021-03-25 13:00:00",51790,1586.676,"NAN",1569.589,1549.36,1551.478,1596.339,1576.182,1577.129,1551.164,1606.577,1503.281,1579.948,9096.584,9060.546,7884.15,9237.867,8464.858,8680.373,11.69379,10.85513,11.40302,9.996093,11.09747,-83.98249,11.53705,9.974152,11.72189,11.72778,11.60007,11.65881,9.468018,10.75299,11.78638,12.00427,9.835541,5.589691,13.31,17.54,-1130.659,-1231.162,"NAN",-123.3481,321.2471,133.5141,208.0651
"2021-03-25 14:00:00",51791,1586.679,"NAN",1569.588,1549.366,1551.486,1596.348,1576.175,1577.136,1551.168,1606.57,1503.279,1579.954,9096.69,9060.653,7884.473,9237.87,8464.928,8680.383,11.68942,10.84775,11.40381,9.996156,11.09726,-83.98244,11.53809,9.974946,11.72223,11.72891,11.59866,11.65881,9.541902,10.75153,11.78571,12.00424,9.836151,5.58899,13.29,17.82,-1134.01,-1229.487,"NAN",-127.4107,319.2044,134.8656,209.4144
"2021-03-25 15:00:00",51792,1586.681,"NAN",1569.586,1549.37,1551.488,1596.357,1576.174,1577.137,1551.169,1606.565,1503.289,1579.959,9096.84,9060.786,7884.855,9237.907,8465.037,8680.425,11.68677,10.84659,11.40393,9.996003,11.09811,-83.95999,11.53916,9.976196,11.72104,11.72992,11.59671,11.65735,9.60083,10.75055,11.78482,12.00449,9.836181,5.587067,13.29,18.25,-1128.984,-1254.613,"NAN",-126.7159,318.4839,133.4922,209.3862
"2021-03-25 16:00:00",51793,1586.683,"NAN",1569.588,1549.371,1551.485,1596.359,1576.175,1577.133,1551.171,1606.566,1503.296,1579.96,9097,9060.97,7885.203,9237.984,8465.196,8680.508,11.68661,10.8475,11.4046,9.99594,11.09967,-84.10519,11.54025,9.977295,11.72058,11.72992,11.59525,11.65652,9.378235,10.7496,11.78412,12.00369,9.836244,5.586152,13.28,18.64,-1127.309,-1232.838,"NAN",-127.3705,319.7813,132.113,207.3158
"2021-03-25 17:00:00",51794,1586.679,"NAN",1569.585,1549.373,1551.482,1596.36,1576.174,1577.133,1551.167,1606.574,1503.304,1579.956,9097.151,9061.207,7885.509,9238.094,8465.382,8680.621,11.68732,10.84958,11.40491,9.99594,11.1012,-84.08446,11.5412,9.976135,11.72073,11.73059,11.59485,11.65628,9.334106,10.74887,11.78317,12.00418,9.836517,5.585419,13.27,18.95,-1127.309,-1229.487,"NAN",-126.6712,318.3716,130.7356,209.3124
"2021-03-25 18:00:00",51795,1586.671,"NAN",1569.581,1549.383,1551.485,1596.367,1576.17,1577.139,1551.16,1606.593,1503.328,1579.949,9097.247,9061.207,7885.668,9238.24,8465.568,8680.763,11.68961,10.85419,11.40515,9.995788,11.10403,-84.09335,11.54236,9.977295,11.72147,11.73099,11.59555,11.65686,9.39975,10.74854,11.78244,12.00418,9.836975,5.583039,13.27,19.15,-1127.308,-1227.811,"NAN",-126.6723,320.4065,130.7367,208.6368
"2021-03-25 19:00:00",51796,1586.662,"NAN",1569.574,1549.395,1551.486,1596.373,1576.164,1577.149,1551.152,1606.612,1503.34,1579.938,9097.328,9061.354,7885.688,9238.423,8465.747,8680.918,11.69458,10.86111,11.40564,9.99594,11.10706,-84.08152,11.5433,9.978668,11.72257,11.73212,11.59814,11.65836,9.471222,10.74789,11.78195,12.00433,9.838348,5.582642,13.26,19,-1128.983,-1236.186,"NAN",-127.3296,319.6785,132.7479,207.9265
"2021-03-25 20:00:00",51797,1586.655,"NAN",1569.568,1549.407,1551.491,1596.382,1576.156,1577.16,1551.147,1606.629,1503.356,1579.928,9097.355,9061.367,7885.718,9238.595,8465.89,8681.071,11.70099,10.86899,11.40628,9.996398,11.11023,-84.12392,11.54459,9.979889,11.72482,11.73288,11.60165,11.66071,9.548889,10.74808,11.78125,12.00473,9.837401,5.583831,13.29,18.12,-1125.633,-1219.436,"NAN",-124.6672,319.7985,132.7977,208.6821
"2021-03-25 21:00:00",51798,1586.652,"NAN",1569.562,1549.415,1551.495,1596.384,1576.152,1577.164,1551.141,1606.642,1503.36,1579.918,9097.359,9061.442,7885.547,9238.731,8466.001,8681.219,11.70703,10.8768,11.40671,9.996521,11.11374,-84.15067,11.54565,9.980774,11.72766,11.73453,11.60581,11.66409,9.641847,10.74817,11.78055,12.00476,9.838715,5.583405,13.3,17.16,-1125.633,-1227.811,"NAN",-124.7035,319.8915,133.5141,209.4205
"2021-03-25 22:00:00",51799,1586.648,"NAN",1569.556,1549.424,1551.494,1596.388,1576.146,1577.172,1551.136,1606.652,1503.36,1579.913,9097.331,9061.297,7885.517,9238.856,8466.078,8681.34,11.71304,10.88345,11.40729,9.997284,11.11716,-84.15862,11.54697,9.980927,11.73074,11.73621,11.6106,11.66702,9.671417,10.74789,11.77991,12.00528,9.839232,5.581299,13.32,16.41,-1125.82,-1233.041,"NAN",-126.059,320.5693,132.1586,208.0651
